model_type,model_label,dataset,class,f1,f1_ci_lo,f1_ci_hi,auc,auc_ci_lo,auc_ci_hi
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.8493150684931505,0.7605633802816901,0.9315068493150684,0.8789473684210527,0.7684210526315789,0.9649122807017544
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.3529411764705882,0.11764705882352941,0.5882352941176471,0.7907801418439716,0.6311170212765956,0.9291666666666666
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",Lung-PET-CT-Dx (test),Squamous,0.375,0.0,0.6666666666666666,0.7146464646464646,0.525189393939394,0.8914772727272727
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),Adenocarcinoma,0.4444444444444444,0.25,0.6060606060606061,0.6404761904761904,0.4808333333333333,0.7952380952380952
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),Small Cell,0.4999999999999999,0.24,0.7142857142857143,0.6948717948717948,0.5,0.8666666666666667
efficientnet_b0_2d,"EffNet-B0 (2D, ImageNet)",BigLunge (test),Squamous,0.4615384615384615,0.21392857142857144,0.6666666666666666,0.588095238095238,0.4023214285714286,0.7667261904761905
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),Adenocarcinoma,0.835820895522388,0.7301587301587301,0.916989436619718,0.9140350877192982,0.8280701754385965,0.9772368421052632
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),Small Cell,0.5454545454545454,0.18181818181818182,0.8333333333333334,0.7163120567375887,0.4431737588652482,0.9397163120567376
resnet50_2d,"ResNet-50 (2D, ImageNet)",Lung-PET-CT-Dx (test),Squamous,0.5714285714285714,0.42424242424242425,0.7272727272727273,0.8156565656565655,0.6944444444444445,0.9242424242424242
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),Adenocarcinoma,0.5294117647058824,0.3333333333333333,0.6875,0.6000000000000001,0.42613095238095244,0.7571428571428571
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),Small Cell,0.2857142857142857,0.0,0.5217391304347826,0.6923076923076923,0.5101282051282051,0.8359615384615385
resnet50_2d,"ResNet-50 (2D, ImageNet)",BigLunge (test),Squamous,0.5161290322580646,0.30740740740740746,0.7027027027027027,0.6238095238095238,0.4404166666666666,0.7904761904761904
